page_num,position,link,title,source,date,snippet,thumbnail
5,1,https://profootballtalk.nbcsports.com/2022/04/11/adam-schefter-apologizes-for-insensitive-dwayne-haskins-tweet/,Adam Schefter apologizes for “insensitive” Dwayne Haskins tweet,ProFootballTalk,1 month ago,"The item focused specifically on the absence of an apology from Adam 
Schefter for a misguided (and deleted) tweet, and Schefter's habit of...",https://serpapi.com/searches/627ab562c640d26cf385fa1e/images/96315cdc88b48e6346192487be2834c35e0610551825582ac08397a6c30ac2bb.jpeg
5,2,https://www.usatoday.com/story/sports/nfl/2022/04/11/espn-adam-schefter-apologizes-insensitive-dwayne-haskins-tweet/7283898001/,ESPN's Adam Schefter apologizes for 'insensitive' Dwayne ...,USA Today,1 month ago,"ESPN NFL insider Adam Schefter has apologized for a tweet he sent after the 
death of Pittsburgh Steelers quarterback Dwayne Haskins during...",https://serpapi.com/searches/627ab562c640d26cf385fa1e/images/96315cdc88b48e633c00b536d87f388763839d294175a34cf6cf46ac812d76a6.jpeg
5,3,https://nypost.com/2022/04/11/adam-schefter-apologizes-for-insensitive-dwayne-haskins-tweet/,ESPN's Adam Schefter apologizes for 'insensitive' Dwayne ...,New York Post,1 month ago,"I wanted to apologize to Dwayne's family, his friends, the players in the 
NFL and offer my condolences to everyone close to Dwayne.”.",https://serpapi.com/searches/627ab562c640d26cf385fa1e/images/96315cdc88b48e63536e9d07e232f67434bd14ba6c7dd0e01cf0396b7c39cf04.jpeg
5,4,https://www.thecut.com/2022/04/tiktok-tinx-tweets-apology.html,"Tinx Apologizes for “Nasty, Mean, Horrible” Tweets",The Cut,2 weeks ago,"Last week, a series of controversial old tweets posted by Christina Najjar, 
a.k.a. TikTok star and influencer Tinx, resurfaced on a thread...",https://serpapi.com/searches/627ab562c640d26cf385fa1e/images/96315cdc88b48e63dd497f7d1823431c82436c6866bdf843d1765520e6f77208.jpeg
5,5,https://nypost.com/2022/04/24/melvin-capitals-gabe-plotkin-apologizes-for-losses-to-investors-who-want-their-money-back/,Melvin Capital's Gabe Plotkin apologizes for losses to investors — who want their money back,New York Post,2 weeks ago,"In a dramatic about-face on Sunday, Melvin Capital founder Gabe Plotkin 
told investors he was delaying a surprise plan to return their money...",https://serpapi.com/searches/627ab562c640d26cf385fa1e/images/96315cdc88b48e6329df983f01903586f14b0e8ff08c64285f47e7338be231ce.jpeg
5,6,https://www.cnn.com/2022/04/20/us/denver-apologizes-anti-chinese-riot-cec/index.html,Denver is the latest city to apologize for its history of anti-Chinese racism,CNN,3 weeks ago,"Denver is the latest city to apologize for its history of anti-Chinese 
racism ... Denver has formally apologized to early Chinese immigrants and...",https://serpapi.com/searches/627ab562c640d26cf385fa1e/images/96315cdc88b48e633483784e323c37645319a12bf0c9b554c47f8684f39c8db9.jpeg
5,7,https://www.sportskeeda.com/esports/news-linus-tech-tips-apologizes-pokimane-recent-twitter-feud,Watch: Linus Tech Tips apologizes to Pokimane for a recent Twitter feud,Sportskeeda,7 hours ago,"Linus apologizes to Pokimane during a recent WAN Show podcast (Images via 
Linus Sebastian and Pokimanelol/Twitter)...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUIZU4f0hJ2XoKIwJ2VPLsV7Zh3GBGN5BjNHwdasplgIajb5h-l-i1qz8&usqp=CAI&s
5,8,https://www.cbssports.com/mlb/news/phillies-alec-bohm-apologizes-for-derogatory-comments-during-frustrating-game-vs-mets/,Phillies' Alec Bohm apologizes for derogatory comments during 'frustrating' game vs. Mets,CBS Sports,1 month ago,"Philadelphia Phillies third baseman Alec Bohm apologized to the team's fans 
after the TV broadcast caught him making derogatory comments...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLUx1_L3Rwc5YqlkssbOx9HU4t9sKBlO0QfnQGqSwLaMQJnpdeu_lfAXo&usqp=CAI&s
5,9,https://loudwire.com/greta-van-fleet-josh-kiszka-issues-apology-indigenous-cultural-appropriation/,Greta Van Fleet Singer Apologizes for Cultural Appropriation,Loudwire,3 weeks ago,"Greta Van Fleet's Josh Kiszka Issues Apology for Indigenous Cultural 
Appropriation · 35. Beartooth, ""Devastation"" · 34. Dorothy, ""What's Coming 
to...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTe1ZkxbtvGOr9ZmwxaLLYekEUyJjXgJKUlow3ZnbIqkw51Ql-zPtLR7pM&usqp=CAI&s
5,10,https://www.bloomberg.com/news/articles/2022-04-20/taiwan-tv-channel-apologizes-for-false-report-on-china-invasion,Did China Invade Taiwan? State-Owned Taipei TV Apologizes ...,Bloomberg.com,3 weeks ago,"An apology from Chinese Television Systems after erroneously reporting that 
China had launched an invasion, on April 20. Source: Chinese...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSS9kKVe6-4nfzTpKoI_L4Pehz7qNsT558Ql5SrTCDyco-MIk0qFAEtV4o&usqp=CAI&s
